date,region,category,product,amount,quantity
2026-06-11,関東,家電,ノートPC,370420,14
2026-06-12,九州,食品,レトルトカレー,1764,6
2026-06-12,九州,家電,スマートフォン,266490,15
2026-06-12,中部,日用品,歯ブラシ,16992,18
2026-06-12,九州,食品,コーヒー豆,4444,7
2026-06-12,関東,家電,イヤホン,79945,2
2026-06-12,関東,日用品,歯ブラシ,27155,17
2026-06-13,関東,家電,ノートPC,349720,20
2026-06-13,関東,食品,レトルトカレー,14496,19
2026-06-13,関西,家電,イヤホン,205928,14
2026-06-13,中部,衣料,Tシャツ,61476,11
2026-06-14,中部,日用品,洗剤,7096,10
2026-06-14,九州,衣料,Tシャツ,16548,15
2026-06-14,関東,家電,イヤホン,522862,17
2026-06-14,中部,食品,レトルトカレー,2816,8
2026-06-15,中部,食品,レトルトカレー,11296,10
2026-06-15,関東,衣料,靴下,16436,5
2026-06-15,中部,家電,ノートPC,177024,5
2026-06-15,中部,衣料,靴下,28380,11
2026-06-15,関西,衣料,靴下,54469,9
2026-06-16,関東,日用品,ティッシュ,343,1
2026-06-16,中部,食品,お茶,4012,6
2026-06-16,九州,日用品,歯ブラシ,585,4
2026-06-17,関西,家電,スマートフォン,243155,5
2026-06-17,九州,食品,コーヒー豆,7820,12
2026-06-17,関東,衣料,Tシャツ,79374,8
2026-06-18,中部,日用品,歯ブラシ,3868,5
2026-06-18,関西,食品,コーヒー豆,1258,1
2026-06-18,関西,衣料,ジャケット,61485,8
2026-06-19,関西,家電,スマートフォン,185451,16
2026-06-19,関西,食品,レトルトカレー,11176,10
2026-06-19,関西,食品,コーヒー豆,12712,7
2026-06-19,九州,衣料,ジャケット,13028,9
2026-06-19,中部,日用品,歯ブラシ,15307,18
2026-06-20,関東,家電,スマートフォン,524073,19
2026-06-20,中部,家電,ノートPC,350198,12
2026-06-20,中部,日用品,歯ブラシ,2313,4
2026-06-20,九州,食品,レトルトカレー,3821,14
2026-06-20,関東,食品,レトルトカレー,4968,3
2026-06-21,中部,家電,イヤホン,376461,17
2026-06-21,中部,日用品,ティッシュ,4896,10
2026-06-21,関西,食品,レトルトカレー,23752,13
2026-06-21,関西,衣料,ジャケット,6586,1
2026-06-21,中部,衣料,Tシャツ,76319,19
2026-06-22,九州,日用品,ティッシュ,4365,7
2026-06-22,九州,食品,お茶,3311,10
2026-06-22,中部,家電,ノートPC,181395,8
2026-06-22,関西,食品,コーヒー豆,3467,8
2026-06-22,九州,家電,スマートフォン,467627,19
2026-06-23,九州,日用品,ティッシュ,1571,5
2026-06-23,関東,家電,スマートフォン,187664,6
2026-06-23,九州,家電,イヤホン,68126,4
2026-06-23,九州,食品,レトルトカレー,19837,17
2026-06-24,九州,日用品,歯ブラシ,2755,6
2026-06-24,九州,日用品,ティッシュ,5426,8
2026-06-24,中部,日用品,歯ブラシ,3196,9
2026-06-24,九州,家電,イヤホン,149660,8
2026-06-24,中部,衣料,ジャケット,14217,3
2026-06-25,関西,食品,レトルトカレー,9465,5
2026-06-25,関西,家電,スマートフォン,420015,11
2026-06-25,九州,日用品,洗剤,4027,14
2026-06-25,九州,家電,イヤホン,368793,16
2026-06-26,中部,衣料,ジャケット,71020,18
2026-06-26,関西,日用品,洗剤,7376,14
2026-06-26,九州,家電,スマートフォン,273254,13
2026-06-27,九州,食品,お茶,975,1
2026-06-27,九州,家電,ノートPC,126311,5
2026-06-27,九州,食品,コーヒー豆,7571,13
2026-06-27,中部,食品,レトルトカレー,8527,11
2026-06-28,中部,日用品,ティッシュ,2529,3
2026-06-28,九州,家電,イヤホン,60691,2
2026-06-28,中部,食品,お茶,704,2
2026-06-28,関東,食品,コーヒー豆,9548,20
2026-06-28,関西,食品,コーヒー豆,5583,4
2026-06-28,関西,日用品,歯ブラシ,6098,12
2026-06-29,関東,食品,レトルトカレー,13858,19
2026-06-29,関東,衣料,靴下,128273,13
2026-06-29,九州,食品,コーヒー豆,8467,8
2026-06-29,関東,衣料,靴下,35940,4
2026-06-30,中部,日用品,歯ブラシ,1389,3
2026-06-30,中部,家電,スマートフォン,128400,4
2026-06-30,九州,衣料,靴下,18431,5
2026-07-01,関西,衣料,靴下,103980,16
2026-07-01,九州,日用品,歯ブラシ,5077,9
2026-07-01,中部,食品,コーヒー豆,10452,15
2026-07-01,関西,日用品,歯ブラシ,11783,13
2026-07-01,中部,家電,スマートフォン,140640,6
2026-07-01,九州,食品,レトルトカレー,6383,11
2026-07-02,中部,家電,イヤホン,49250,3
2026-07-02,関西,日用品,ティッシュ,6758,8
2026-07-02,九州,日用品,ティッシュ,707,1
2026-07-02,関東,衣料,Tシャツ,53894,8
2026-07-02,中部,衣料,ジャケット,82062,17
2026-07-03,九州,衣料,ジャケット,76198,15
2026-07-03,中部,衣料,ジャケット,10841,4
2026-07-03,関西,衣料,Tシャツ,150183,18
2026-07-03,関西,食品,コーヒー豆,12780,9
2026-07-03,中部,家電,ノートPC,175449,8
2026-07-04,関西,衣料,Tシャツ,144540,18
2026-07-04,関西,衣料,Tシャツ,38530,18
2026-07-04,中部,食品,お茶,4176,4
2026-07-04,関東,衣料,ジャケット,113841,15
2026-07-04,中部,食品,コーヒー豆,10457,16
2026-07-05,関東,日用品,ティッシュ,7314,19
2026-07-05,関東,食品,コーヒー豆,20328,10
2026-07-05,関東,食品,コーヒー豆,28263,14
2026-07-06,九州,日用品,ティッシュ,6703,19
2026-07-06,九州,衣料,靴下,9221,2
2026-07-06,関東,食品,お茶,9223,9
2026-07-06,関東,食品,コーヒー豆,16506,18
2026-07-07,関西,家電,スマートフォン,825528,20
2026-07-07,九州,衣料,Tシャツ,23772,10
2026-07-07,中部,日用品,洗剤,5779,8
2026-07-08,関西,日用品,洗剤,6661,8
2026-07-08,関西,衣料,Tシャツ,4584,2
2026-07-08,関西,衣料,靴下,159571,19
2026-07-08,中部,日用品,洗剤,5432,10
2026-07-08,九州,衣料,靴下,66337,16
2026-07-09,関東,家電,スマートフォン,815444,20
2026-07-09,中部,家電,ノートPC,349630,19
2026-07-09,関東,衣料,靴下,15363,6
2026-07-09,九州,日用品,ティッシュ,5120,19
2026-07-09,九州,日用品,洗剤,5720,12
2026-07-09,九州,衣料,ジャケット,19569,4
2026-07-10,中部,日用品,歯ブラシ,5656,10
2026-07-10,九州,家電,スマートフォン,106036,11
2026-07-10,中部,衣料,Tシャツ,81411,13
2026-07-10,関東,日用品,ティッシュ,2499,7
2026-07-11,九州,日用品,洗剤,2570,9
2026-07-11,関西,衣料,ジャケット,127072,16
2026-07-11,関東,家電,イヤホン,198928,6
2026-07-11,中部,家電,イヤホン,83371,3
2026-07-11,関西,家電,スマートフォン,86339,5
2026-07-12,中部,衣料,ジャケット,69785,16
2026-07-12,関西,日用品,歯ブラシ,4976,13
2026-07-12,関西,食品,コーヒー豆,13321,14
2026-07-12,中部,衣料,Tシャツ,30536,10
2026-07-12,九州,食品,レトルトカレー,15713,16
2026-07-12,中部,衣料,靴下,111585,18
2026-07-13,九州,衣料,Tシャツ,40392,8
2026-07-13,九州,食品,レトルトカレー,2995,11
2026-07-13,九州,日用品,ティッシュ,3076,5
2026-07-13,九州,家電,ノートPC,544209,19
2026-07-13,中部,家電,スマートフォン,197662,17
2026-07-13,九州,家電,イヤホン,170980,14
2026-07-14,関東,日用品,ティッシュ,15287,20
2026-07-14,九州,家電,スマートフォン,391036,13
2026-07-14,中部,日用品,歯ブラシ,3776,20
2026-07-14,関東,食品,お茶,23814,10
2026-07-15,関東,日用品,洗剤,5476,4
2026-07-15,九州,食品,お茶,639,1
2026-07-15,関東,衣料,Tシャツ,65570,12
2026-07-15,中部,日用品,洗剤,6120,17
2026-07-16,関西,食品,コーヒー豆,10142,20
2026-07-16,九州,食品,レトルトカレー,5229,5
2026-07-16,関西,日用品,歯ブラシ,7590,15
2026-07-16,中部,家電,スマートフォン,386640,18
2026-07-16,関西,家電,スマートフォン,640501,19
2026-07-16,中部,日用品,歯ブラシ,5472,15
2026-07-17,関西,日用品,ティッシュ,2719,8
2026-07-17,九州,衣料,靴下,27461,10
2026-07-17,関東,日用品,ティッシュ,5532,19
2026-07-17,関東,日用品,ティッシュ,11132,8
2026-07-17,中部,食品,お茶,11024,20
2026-07-18,関西,家電,イヤホン,116413,10
2026-07-18,九州,家電,イヤホン,111688,5
2026-07-18,関東,衣料,ジャケット,149410,14
2026-07-18,関西,食品,コーヒー豆,18532,12
2026-07-18,中部,食品,レトルトカレー,10288,10
2026-07-19,関東,日用品,洗剤,3852,8
2026-07-19,九州,衣料,Tシャツ,72590,13
2026-07-19,関東,衣料,靴下,52752,15
2026-07-19,中部,衣料,靴下,44361,12
2026-07-19,関東,食品,レトルトカレー,9828,20
2026-07-20,関西,家電,イヤホン,422686,10
2026-07-20,九州,家電,ノートPC,15359,2
2026-07-20,中部,日用品,洗剤,1913,8
2026-07-20,関西,日用品,ティッシュ,11464,18
2026-07-20,九州,食品,レトルトカレー,4594,4
2026-07-21,九州,衣料,Tシャツ,60093,12
2026-07-21,関西,日用品,ティッシュ,10322,8
2026-07-21,中部,家電,イヤホン,461851,18
2026-07-21,中部,家電,スマートフォン,146048,7
2026-07-21,関東,日用品,洗剤,8604,7
2026-07-21,関東,家電,スマートフォン,167734,5
2026-07-22,関東,食品,お茶,8310,8
2026-07-22,中部,食品,お茶,2196,9
2026-07-22,関西,食品,お茶,5365,6
2026-07-22,関東,家電,ノートPC,150746,12
2026-07-23,中部,家電,ノートPC,40625,2
2026-07-23,関西,日用品,歯ブラシ,1042,3
2026-07-23,九州,日用品,ティッシュ,9642,19
2026-07-23,関東,日用品,歯ブラシ,11928,20
2026-07-24,中部,日用品,歯ブラシ,949,1
2026-07-24,関東,日用品,ティッシュ,3561,4
2026-07-24,九州,日用品,洗剤,2352,3
2026-07-25,関西,家電,ノートPC,572506,20
2026-07-25,中部,日用品,歯ブラシ,5944,10
2026-07-25,九州,日用品,洗剤,2833,4
2026-07-25,関西,日用品,ティッシュ,9759,8
2026-07-25,九州,衣料,ジャケット,46706,14
2026-07-26,中部,日用品,ティッシュ,6343,9
2026-07-26,中部,食品,お茶,3050,3
2026-07-26,関東,家電,ノートPC,203296,4
2026-07-27,関西,家電,イヤホン,887119,18
2026-07-27,中部,家電,スマートフォン,349137,14
2026-07-27,関東,衣料,靴下,68191,12
2026-07-27,関東,食品,コーヒー豆,36825,16
2026-07-27,関西,家電,スマートフォン,586806,12
2026-07-28,中部,食品,レトルトカレー,23168,20
2026-07-28,関東,衣料,Tシャツ,37510,9
2026-07-28,中部,衣料,ジャケット,7440,6
2026-07-29,九州,家電,ノートPC,21018,3
2026-07-29,関西,日用品,ティッシュ,8034,11
2026-07-29,関西,衣料,ジャケット,89673,11
2026-07-29,関東,家電,ノートPC,512847,20
2026-07-30,関東,衣料,ジャケット,135671,14
2026-07-30,九州,日用品,ティッシュ,2347,7
2026-07-30,関東,衣料,ジャケット,33712,10
2026-07-31,中部,家電,ノートPC,542448,20
2026-07-31,関東,家電,ノートPC,271979,7
2026-07-31,関西,衣料,ジャケット,18422,4
2026-07-31,関東,日用品,歯ブラシ,5376,6
2026-07-31,関西,日用品,歯ブラシ,8096,8
2026-07-31,中部,家電,スマートフォン,120646,14
2026-08-01,九州,家電,スマートフォン,480568,19
2026-08-01,九州,日用品,ティッシュ,2884,13
2026-08-01,関東,衣料,Tシャツ,137823,15
2026-08-02,関東,日用品,洗剤,8800,14
2026-08-02,九州,家電,スマートフォン,218171,11
2026-08-02,関西,衣料,Tシャツ,39737,17
2026-08-02,関東,食品,レトルトカレー,7133,5
2026-08-02,関西,家電,ノートPC,190767,7
2026-08-03,関西,家電,ノートPC,666303,15
2026-08-03,九州,衣料,靴下,14311,5
2026-08-03,九州,家電,スマートフォン,258859,10
2026-08-03,中部,家電,スマートフォン,98995,3
2026-08-04,九州,日用品,洗剤,2167,12
2026-08-04,中部,家電,イヤホン,222672,20
2026-08-04,九州,日用品,歯ブラシ,1073,2
2026-08-04,九州,食品,レトルトカレー,17236,16
2026-08-04,関西,家電,スマートフォン,178874,11
2026-08-05,関西,家電,ノートPC,605352,15
2026-08-05,関西,衣料,ジャケット,54583,13
2026-08-05,九州,衣料,靴下,8955,2
2026-08-06,関東,衣料,Tシャツ,110474,13
2026-08-06,中部,衣料,靴下,110048,20
2026-08-06,関西,衣料,Tシャツ,34501,5
2026-08-06,中部,衣料,靴下,75098,13
2026-08-06,関西,家電,スマートフォン,638194,13
2026-08-07,関西,家電,イヤホン,668487,17
2026-08-07,中部,家電,スマートフォン,135556,6
2026-08-07,関西,衣料,ジャケット,27033,8
2026-08-07,関西,食品,コーヒー豆,3982,4
2026-08-07,関東,衣料,靴下,72044,20
2026-08-08,関西,食品,コーヒー豆,37796,20
2026-08-08,関西,日用品,洗剤,8184,12
2026-08-08,関西,日用品,歯ブラシ,8101,15
2026-08-08,関西,食品,レトルトカレー,9702,7
2026-08-08,中部,日用品,ティッシュ,7896,10
2026-08-08,九州,日用品,洗剤,5076,7
2026-08-09,中部,家電,イヤホン,379152,12
2026-08-09,関東,家電,スマートフォン,113366,6
2026-08-09,中部,日用品,歯ブラシ,3920,14
2026-08-09,関東,食品,レトルトカレー,1421,1
2026-08-10,関東,日用品,歯ブラシ,6518,8
2026-08-10,九州,家電,スマートフォン,15900,1
2026-08-10,中部,家電,イヤホン,119892,5
2026-08-10,関西,家電,スマートフォン,214291,5
2026-08-10,九州,日用品,歯ブラシ,430,3
2026-08-10,関東,衣料,Tシャツ,68644,18
2026-08-11,関東,衣料,Tシャツ,22215,4
2026-08-11,関東,食品,レトルトカレー,45024,20
2026-08-11,九州,家電,ノートPC,570584,20
2026-08-11,関東,食品,お茶,8316,10
2026-08-11,九州,家電,イヤホン,174283,8
2026-08-11,九州,食品,お茶,3502,3
2026-08-12,関東,家電,スマートフォン,108668,2
2026-08-12,九州,衣料,ジャケット,5335,1
2026-08-12,中部,家電,スマートフォン,76166,4
2026-08-12,中部,食品,コーヒー豆,14702,18
2026-08-12,中部,食品,お茶,16012,16
2026-08-13,関西,家電,イヤホン,83586,2
2026-08-13,中部,食品,コーヒー豆,1132,2
2026-08-13,中部,衣料,靴下,68572,18
2026-08-13,九州,衣料,Tシャツ,37583,7
2026-08-14,中部,家電,イヤホン,214221,9
2026-08-14,関東,衣料,ジャケット,100296,15
2026-08-14,九州,衣料,Tシャツ,62316,16
2026-08-14,中部,衣料,Tシャツ,83507,14
2026-08-14,関東,日用品,歯ブラシ,8752,6
2026-08-15,中部,家電,ノートPC,235920,10
2026-08-15,中部,日用品,歯ブラシ,10460,14
2026-08-15,関西,日用品,ティッシュ,1445,2
2026-08-15,中部,日用品,ティッシュ,1366,2
2026-08-15,関東,日用品,ティッシュ,6090,6
2026-08-16,関西,日用品,洗剤,1085,3
2026-08-16,関西,衣料,ジャケット,96892,19
2026-08-16,関東,食品,お茶,20512,12
2026-08-17,九州,家電,イヤホン,202573,17
2026-08-17,中部,日用品,ティッシュ,6228,9
2026-08-17,関西,家電,ノートPC,355379,16
2026-08-17,九州,家電,スマートフォン,263109,15
2026-08-17,関西,衣料,靴下,42527,7
2026-08-18,関西,家電,スマートフォン,318697,15
2026-08-18,関東,衣料,靴下,18253,3
2026-08-18,中部,衣料,Tシャツ,35188,6
2026-08-19,関西,家電,ノートPC,150488,8
2026-08-19,九州,家電,スマートフォン,589296,19
2026-08-19,中部,日用品,歯ブラシ,5312,20
2026-08-19,関東,家電,スマートフォン,763683,16
2026-08-19,九州,日用品,歯ブラシ,962,5
2026-08-20,関東,日用品,ティッシュ,21324,17
2026-08-20,中部,食品,お茶,24472,19
2026-08-20,関西,食品,レトルトカレー,2923,2
2026-08-20,関東,食品,レトルトカレー,5350,6
2026-08-20,中部,食品,レトルトカレー,10896,10
2026-08-21,中部,食品,お茶,10281,9
2026-08-21,関西,衣料,靴下,19371,3
2026-08-21,関西,食品,コーヒー豆,36278,20
2026-08-22,関東,家電,ノートPC,292041,19
2026-08-22,中部,食品,お茶,18448,20
2026-08-22,関東,日用品,歯ブラシ,10612,10
2026-08-22,中部,日用品,洗剤,10649,13
2026-08-22,中部,日用品,洗剤,1448,2
2026-08-23,九州,日用品,ティッシュ,3307,7
2026-08-23,中部,食品,レトルトカレー,15584,11
2026-08-23,中部,日用品,洗剤,9388,12
2026-08-23,関東,衣料,Tシャツ,29797,4
2026-08-24,九州,食品,コーヒー豆,697,2
2026-08-24,中部,日用品,歯ブラシ,4019,8
2026-08-24,関西,衣料,靴下,89624,11
2026-08-24,関西,食品,レトルトカレー,22341,15
2026-08-24,九州,衣料,ジャケット,3546,3
2026-08-25,九州,食品,コーヒー豆,12549,12
2026-08-25,関東,家電,スマートフォン,1132124,20
2026-08-25,九州,衣料,靴下,4384,4
2026-08-25,九州,食品,レトルトカレー,15027,12
2026-08-25,九州,衣料,Tシャツ,6693,2
2026-08-25,関西,衣料,靴下,12751,3
2026-08-26,九州,衣料,靴下,99022,20
2026-08-26,関東,食品,コーヒー豆,18580,12
2026-08-26,中部,衣料,Tシャツ,50080,20
2026-08-26,九州,家電,ノートPC,36925,5
2026-08-26,中部,日用品,歯ブラシ,2668,5
2026-08-26,関西,衣料,靴下,27119,6
2026-08-27,中部,衣料,靴下,81720,18
2026-08-27,九州,衣料,ジャケット,13742,12
2026-08-27,中部,家電,スマートフォン,22530,1
2026-08-27,九州,衣料,靴下,105242,19
2026-08-27,関西,家電,イヤホン,260607,6
2026-08-27,九州,食品,お茶,1114,2
2026-08-28,関西,家電,スマートフォン,439793,14
2026-08-28,関西,日用品,歯ブラシ,6283,14
2026-08-28,九州,家電,イヤホン,202883,17
2026-08-29,中部,日用品,歯ブラシ,5148,11
2026-08-29,関西,日用品,歯ブラシ,10890,18
2026-08-29,中部,衣料,靴下,30609,7
2026-08-29,関西,衣料,靴下,34716,8
2026-08-30,中部,食品,お茶,22310,16
2026-08-30,中部,日用品,ティッシュ,5565,9
2026-08-30,中部,家電,イヤホン,453419,13
2026-08-30,九州,衣料,Tシャツ,5430,2
2026-08-30,中部,家電,スマートフォン,266335,9
2026-08-31,関西,食品,お茶,16929,18
2026-08-31,中部,食品,コーヒー豆,23712,19
2026-08-31,関西,食品,コーヒー豆,31247,17
2026-08-31,関西,食品,コーヒー豆,7777,14
2026-08-31,中部,日用品,洗剤,3588,5
2026-08-31,関東,食品,レトルトカレー,36668,16
